wed,failed,2022-12-02,22:30:51.335025700
wed,successful,2022-12-02,22:30:53.240975300
admin,failed,2022-12-02,22:31:20.198377900
admin,successful,2022-12-02,22:31:22.219915400
enid,successful,2022-12-02,22:47:50.747439600
tyler,successful,2022-12-02,22:50:51.619396800
tyler,successful,2022-12-02,22:57:38.463712300
tyler,successful,2022-12-02,23:01:57.921151
tyler,successful,2022-12-02,23:02:41.080612500
admin,successful,2022-12-02,23:02:59.709414400
tyler,successful,2022-12-02,23:03:18.652220900
tyler,successful,2022-12-02,23:05:24.338435100
tyler,successful,2022-12-02,23:15:56.326291700
admin,successful,2022-12-03,00:46:26.945708
admin,successful,2022-12-03,00:47:56.891009
admin,successful,2022-12-03,00:48:31.589870900
admin,successful,2022-12-03,00:51:12.638538400
admin,successful,2022-12-03,00:52:01.951278600
admin,successful,2022-12-03,00:53:06.803458800
admin,successful,2022-12-03,01:00:13.867576
admin,successful,2022-12-03,01:01:43.843041100
admin,successful,2022-12-03,01:18:54.548531700
admin,successful,2022-12-03,02:18:11.468067200
admin,successful,2022-12-03,15:20:38.861531700
admin,successful,2022-12-03,15:20:59.861714500
admin,successful,2022-12-03,15:21:31.308327400
admin,successful,2022-12-03,15:22:46.801997400
admin,successful,2022-12-03,15:48:43.410165500
admin,successful,2022-12-03,15:50:03.057028400
admin,successful,2022-12-03,15:52:57.718420
admin,successful,2022-12-03,16:00:08.164816700
admin,successful,2022-12-03,16:00:42.806557200
admin,successful,2022-12-03,16:01:56.428561400
admin,successful,2022-12-03,16:02:49.898103800
admin,successful,2022-12-03,16:03:46.422181900
admin,successful,2022-12-03,16:31:28.392492600
admin,successful,2022-12-03,16:32:17.172817900
admin,successful,2022-12-03,16:32:53.525310600
admin,successful,2022-12-03,16:33:16.558884400
admin,successful,2022-12-03,16:35:52.666548800
admin,successful,2022-12-03,16:36:35.883958300
admin,successful,2022-12-03,16:36:56.443004600
admin,successful,2022-12-03,16:38:37.824588900
admin,successful,2022-12-03,16:39:54.459151600
admin,successful,2022-12-03,16:40:50.790013
admin,successful,2022-12-03,16:41:04.176793800
admin,successful,2022-12-03,16:42:04.427544800
admin,successful,2022-12-03,16:43:08.417141900
admin,successful,2022-12-03,16:43:45.707166900
admin,successful,2022-12-03,17:21:28.890278100
admin,successful,2022-12-03,17:22:27.039091100
admin,successful,2022-12-03,17:23:41.517623500
admin,successful,2022-12-03,17:25:30.214189200
admin,successful,2022-12-03,17:26:22.176648200
admin,successful,2022-12-03,19:18:06.030169400
admin,successful,2022-12-03,19:19:50.575135600
admin,successful,2022-12-03,19:20:26.983404800
admin,successful,2022-12-03,19:41:32.283576600
admin,successful,2022-12-03,19:42:42.124351800
admin,successful,2022-12-03,19:45:23.351256600
admin,successful,2022-12-03,19:46:54.517803100
wed,successful,2022-12-03,19:47:45.472407700
admin,successful,2022-12-03,19:48:46.299254900
wed,successful,2022-12-03,19:49:03.481746900
wed,successful,2022-12-04,14:36:43.047816400
hb,successful,2022-12-04,14:40:24.075779300
wed,successful,2022-12-04,14:40:43.469628800
hb,successful,2022-12-04,14:42:00.551463900
hb,successful,2022-12-04,14:42:33.018706100
hb,successful,2022-12-04,14:44:19.066883600
admin,successful,2022-12-04,14:44:40.382993800
hb,successful,2022-12-04,14:44:57.126375700
hb,successful,2022-12-04,14:46:21.528641900
admin,successful,2022-12-04,14:47:01.588021400
hb,successful,2022-12-04,14:47:16.328813500
admin,successful,2022-12-04,14:47:36.012960300
admin,failed,2022-12-04,14:47:56.665174100
hb,successful,2022-12-04,14:47:59.753965500
wed,successful,2022-12-04,14:51:35.935197800
wed,successful,2022-12-04,14:52:45.159747100
